产地,产品类型,阶段,检验日期,生产日期,产品编号,规格型号,材质分类,产品分类,产品批号,原材料,原材料批号,模具编号,总数量,合格数,一次硫化合格率,"不合格
数量",一次硫化缺胶,"一次硫化开
裂",一次硫化杂质,型腔坏,一硫尺寸不合格,"一次硫化合模线
撕裂","一次硫
化粘模",一次硫化污染,"一次硫化
凹陷",一次硫化合模线粗,一次硫化流痕,一次硫化气泡,一次硫熔接不良,"一次硫化
其他",操作员,二次硫化检查总数pcs,"总不
合格数pcs","总合
格率%",最终良品数pcs,污染,"杂质
","表面
凹陷","合模线
凹陷",合模线撕裂,"粘胶
",粘皮,缺胶,断裂,毛刺,开裂 ,气泡,压痕,尺寸不合格,粘模,划伤,表面发亮异点,修边不良,油污,焦烧,堵孔,水印印迹,变形,合模线开裂,合模线分开,拉丝,裁断不良,"胶
不
熟",加工痕迹,生锈,流痕,熔接不良,色差,打磨过度,混料,激光不良,其他,检验员,工时数H,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/24,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,24020549-A,,A202403040415,,,,#DIV/0!,0,,,,,,,,,,,,,,,,2202,512,76.75%,1690,0,0,162,0,0,0,63,93,0,0,0,0,0,0,22,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,姚月平,4.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/24,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,24020549-A,,A2024030496,,4465,,0.00%,0,,,,,,,,,,,,,,,,3213,1213,62.25%,2000,0,0,422,0,0,0,82,348,0,0,0,0,0,0,151,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,姚月平,6.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/15,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,23120123-A,,A2024030181,,810,,0.00%,0,,,,,,,,,,,,,,,,794,234,70.53%,560,0,0,0,14,0,0,74,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,4,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/21,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,24050004-A,,,,2499,,0.00%,0,,,,,,,,,,,,,,,,2492,552,77.85%,1940,0,1,0,32,0,0,30,6,0,479,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,陈安琪,6.5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/15,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,23120123-A,,A2024011531,,2552,,0.00%,0,,,,,,,,,,,,,,,,1047,387,63.04%,660,0,0,118,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,肖亚男,4,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/15,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,23120123-A,,A2024022561,,2324,,0.00%,0,,,,,,,,,,,,,,,,2377,1277,46.28%,1100,0,0,0,128,0,0,124,0,0,858,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,6,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/3/8,0101020298,FKM黑色75邵A 5孔氧传感器橡胶塞 φ8.8*φ12*10,FKM黑色,定制异形件,20240308-B,,,,3458,,0.00%,0,,,,,,,,,,,,,,,,1921,921,52.06%,1000,0,0,0,239,0,0,47,0,0,587,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,李春仙,5,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/4/27,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711-9,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,2044,294,85.62%,1750,0,12,84,0,0,0,0,44,0,91,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,时光元,8,,,,,,,,,,,,,,,,
安徽,汽车,量产,2024/5/4,2024/4/22,0101020211,VMQ蓝色50邵A Seal Mat 自出油,VMQ蓝色,定制异形件,2024032711,,,,,,#DIV/0!,0,,,,,,,,,,,,,,,,2653,153,94.23%,2500,0,0,65,0,0,0,0,45,0,0,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,曹文文,11,,,,,,,,,,,,,,,,
外购,/,/,2024/5/4,/,0304040082,阀-铜件 φ31.62X20.65,/,金属件,/,/,/,/,,,#DIV/0!,0,,,,,,,,,,,,,,,,3099,1,99.97%,3098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,任菊,4.83,,,,,,,,,,,,,,,,
